YEAR,DATE,,EVENT,TYPE,OPP,VENUE,CITY,COUNTRY,NZ.SCORE,OPP.SCORE,COACH,CAPTAIN
2017,Feb 8,,Wales Tour,,WAL,Ice Arena Wales,Cardiff,WAL,72,39,J. Southby,K. Rore
2017,Feb 7,,Wales Tour,,WAL,Ice Arena Wales,Cardiff,WAL,92,27,J. Southby,K. Rore
2017,Feb 5,,Netball Quad Series,,RSA,SSE Arena,Wembley,ENG,70,39,J. Southby,K. Rore
2017,Feb 2,,Netball Quad Series,,ENG,Echo Arena,Liverpool,ENG,61,37,J. Southby,K. Rore
2017,Jan 28,,Netball Quad Series,,AUS,Durban International Convention Centre,Durban,RSA,50,57,J. Southby,K. Rore
2016,Oct 20,,Constellation Cup,,AUS,ILT Stadium Southland,Invercargill,NZL,45,49,J. Southby,K. Rore
2016,Oct 15,,Constellation Cup,,AUS,Vector Arena,Auckland,NZL,50,62,J. Southby,K. Rore
2016,Oct 12,,Constellation Cup,,AUS,Silverdome,Launceston,AUS,53,51,J. Southby,K. Rore
2016,Oct 9,,Constellation Cup,,AUS,Qudos Bank Arena,Sydney,AUS,56,68,J. Southby,K. Rore
2016,Sep 17,,Taini Jamison Trophy,,JAM,Energy Events Centre,Rotorua,NZL,66,38,J. Southby,K. Rore
2016,Sep 14,,Taini Jamison Trophy,,JAM,Central Energy Trust Arena,Palmerston North,NZL,61,38,J. Southby,K. Rore
2016,Sep 11,,Taini Jamison Trophy,,JAM,Trafalgar Centre,Nelson,NZL,72,34,J. Southby,K. Rore
2016,Sep 4,,Netball Quad Series,,AUS,Margaret Court Arena,Melbourne,AUS,55,60,J. Southby,K. Rore
2016,Aug 31,,Netball Quad Series,Round 1,RSA,Claudelands Arena,Hamilton,NZL,65,46,J. Southby,K. Rore
2016,Aug 27,,Netball Quad Series,Round 1,ENG,Vector Arena,Auckland,NZL,65,39,J. Southby,K. Rore
2015,Oct 30,,Constellation Cup,Test 4,AUS,Perth Arena,Perth,AUS,58,47,W. Taumaunu,C. Kopua
2015,Oct 25,,Constellation Cup,Test 3,AUS,Hisense Arena,Melbourne,AUS,50,47,W. Taumaunu,C. Kopua
2015,Oct 22,,Constellation Cup,Test 2,AUS,Vector Arena,Auckland,NZL,48,58,W. Taumaunu,C. Kopua
2015,Oct 20,,Constellation Cup,Test 1,AUS,Horncastle Arena,Christchurch,NZL,44,50,W. Taumaunu,C. Kopua
2015,Aug 16,,Netball World Cup,GMM,AUS,Allphones Arena,Sydney,AUS,55,58,W. Taumaunu,C. Kopua
2015,Aug 15,,Netball World Cup,SF,ENG,Allphones Arena,Sydney,AUS,50,39,W. Taumaunu,C. Kopua
2015,Aug 14,,Netball World Cup,Pool,UGA,Allphones Arena,Sydney,AUS,76,33,W. Taumaunu,C. Kopua
2015,Aug 12,,Netball World Cup,Pool,MAW,Allphones Arena,Sydney,AUS,57,49,W. Taumaunu,C. Kopua
2015,Aug 11,,Netball World Cup,Pool,JAM,Allphones Arena,Sydney,AUS,55,48,W. Taumaunu,C. Kopua
2015,Aug 9,,Netball World Cup,Pool,AUS,Allphones Arena,Sydney,AUS,52,47,W. Taumaunu,C. Kopua
2015,Aug 8,,Netball World Cup,Pool,TTO,Allphones Arena,Sydney,AUS,74,38,W. Taumaunu,C. Kopua
2015,Aug 7,,Netball World Cup,Pool,BAR,Allphones Arena,Sydney,AUS,73,38,W. Taumaunu,C. Kopua
2015,Jul 28,,Taini Jamison Trophy,Test 2,RSA,The Trusts Arena,Auckland,NZL,67,28,W. Taumaunu,C. Kopua
2015,Jul 26,,Taini Jamison Trophy,Test 1,RSA,Claudelands Arena,Hamilton,NZL,68,44,W. Taumaunu,C. Kopua
2015,Jul 23,,Taini Jamison Trophy,Test 1,FIJ,Te Rauparaha Arena,Porirua,NZL,91,31,W. Taumaunu,C. Kopua
2015,Jan 22,,Oceania Netball Series,Test 3,FIJ,Vodafone Arena,Suva,FIJ,76,34,W. Taumaunu,L. Langman*
2015,Jan 20,,Oceania Netball Series,Test 2,SAM,Vodafone Arena,Suva,FIJ,89,23,W. Taumaunu,L. Langman*
2015,Jan 19,,Oceania Netball Series,Test 1,FIJ,Vodafone Arena,Suva,FIJ,81,28,W. Taumaunu,L. Langman*
2014,Oct 31,,Taini Jamison Trophy,Test 2,ENG,Arena Manawatu,Palmerston North,NZL,52,38,W. Taumaunu,L. Langman*
